orig_video_id,new_video_id
V_cd1c7dd7fbda401a854522f87dd1c03f,27255
V_f4dca9cea73f4f51b90ab851693bfeed,32446
V_a5b30e70775e41238b3c4e30d520e886,22034
V_cd6fb9989f21413d86f0e9cc6c95587d,27305
V_b28dfd8ee8cc41219ce43fc3d9a34c92,23769
V_V8-4_Conservation_of_Angular_Momentum,21272
V_2162bd9054f24f0089c87715a55422eb,4451
V_efc63ce6f7bd40d98b171d432b5f05c3,31761
V_346a8d7b709641788b60fc7f35d78707,6886
V_3dbb8630b3be4ed88eb198866d4890fc,8108
V_2c3741ecff8840749e464c5a9c4f33bc,5811
V_5213c7ab16ef4bd684d2354e8844fd7c,10756
V_cebbcd684794499390495f0e8e70f589,27459
V_6af5d5ab4c5a4a53b1f1946a45cb0175,14082
V_580f592e94124427a163011887ea8729,11555
V_729ca0a71fb746678784a6da0e6c4cb1,15098
V_606ac4d09bf34beebd19d128c9a88559,12705
V_1b9b9d7fa51e4ee080c4113f80f9b03a,3680
V_c3453b87de1647e38375fff35c877e4e,25997
V_7c4d6e11bc394cea838e54a77bc16879,16361
V_9451f57b7c18442baa36fab0e63d8a37,19410
V_80f16a28d7d742e29ff0f83269bc98ba,16899
V_6531daf2adcf483b92eac59ed3c151d7,13358
V_812eb5e0b4a04a8face252a8069c8ed7,16932
V_4895ef93fe8747c1bd3b665246d897aa,9545
V_a850ea6655284d499ba0d491f1565ef3,22411
V_ba034373d1fb4987904ed6c5a77f4304,24737
V_f98cfee7f611401b864a3ff9c4d9268d,33061
V_b30af9e90de643e8b84cb4f025ecb58d,23824
V_09b2dfc921ef440197e27881ab33c79c,1271
V_2eda0e56f6624b1781d046fa552eda92,6145
V_e6a76404851a4252b9bb98a715674723,30573
V_54f3316650e04dcebc876a39726bae41,11136
V_ca7b1a4de6f84988a199d295a73e8fc2,26910
V_e3fec66613b7444da6305d4cc7dee041,30228
V_1815eabe8c5240198dfdff7b15866a12,3234
V_db87068b458346ae89e12e3ea2bb3726,29097
V_70bd69c60f8d4730a864c19f1d1e43a7,14849
V_01bc0cf8dfc24b229a86d3bd1a7e0e78,222
V_55071a64b6714274a195a75a7834ac06,11149
V_1436d016db6c410785c73ccda47304fe,2722
V_f4080a6e719340abbfae9170f51edbaa,32318
V_645bbc3e7ed3445986426ffb58718d3e,13260
V_91147c3cf0544fdc813ca469d0f3b722,19002
V_f1a782f1d80547068b85a7ed6603ab5a,32005
V_1eee0cc952c74c57ae91d230ec38b507,4127
V_82d642e1638f48e9afc1ae4e2598acb1,17147
V_5941ff76fe594f4e81a2113e53ac64c5,11729
V_37e86ac4bf534695ab564f5d60a686cf,7329
V_b245d2327be64fd0ac90f2f896a20273,23731
V_a75a1a8185f1436392b4796267515e42,22262
V_5a139b664b0243108517d049d708b2fd,11831
V_3f8466cc4cf945329dd3dcf6b17a5842,8330
V_ef027710f5d54ee69593fe11b3b650d0,31654
V_0167686a51024bf3b1abb2e58846d5b3,175
V_fad210b3ab974d1989a611e61628ebdc,33242
V_acbc8040394f43c5be693c16667b9171,23003
V_f1051ed00958479289c19f1734984467,31927
V_3138c8595b8e4dd083aa71b14d75b389,6477
V_e36c0f2936f448d2897b3aaacc5d596f,30135
V_d2f4b023c4c24d37bce597406bc755af,28048
V_67a715b78328470ba68495062d16b218,13677
V_4bc27206491d47528f041e107f8ac97c,9934
V_6f61c0a0e06c42d890b3a385b3bc122f,14664
V_5954637482df433b8cd2c37fbe51cfd1,11740
V_793d82d228cb49f2bc4590877bfff808,15951
V_c65b3eab4b344d6fb984e9e505514f45,26386
V_616d772c245445ed85f32cb42a212663,12832
V_3d37b776a036472b806a838ca9964c0b,8027
V_aec8ae1d85cf498695c05312addcb5ac,23260
V_d7c8357931d74708a5bf0fca82ca35bc,28646
V_91866736583f4913b5212bc158221388,19059
V_445fd96001cc4742a86c8e42da20d9e1,8979
V_dbf689efe84a4e1cb2c63d6260929eb5,29165
V_6394af9d29594ea583826d7868be6b52,13158
V_032df097c5ca4bea90db1ee8395f0cc3,416
V_cce4582b1a28433ebe1df1d08f0f5712,27209
V_daa57a605eb14da292dfc26a30ebd93c,28980
V_a3f6a1764fec4d84a4a40c5572b3cb26,21820
V_f21b6fb0dcc141eab6fc9b056c044576,32072
V_0185977a77a74c91b21f4b5931a15052,194
V_b20290db9e964ef686a06e8053f319ca,23691
V_4790163de86847409431ad3c9787a016,9398
V_6ec1e5ce7c53486480a0c22571f5c97c,14588
V_b55506e790b14c8b901bc338816e2b8c,24131
V_3471f5a0d1224f3393740c4078d3f1fa,6892
V_1a0f6708d74647e78c2d9ddd750853cb,3485
V_b60e4345db794838bbf7cd382e61e231,24230
V_9f595aaf802d42128078a3ec070a558c,20812
V_dfd604cce98042c9a87e3b2bdeb7ccae,29661
V_5c22a0ed560140dd8e37d478f25937be,12099
V_b13f3c8c397b4495827ea5dca260a694,23599
V_74fa1410430e4a96a440ab40a752fb3f,15418
V_46a2c79742924e859e191d9d5eff7877,9279
V_5535b37d8d66431fa49ff692ed5676df,11171
V_095178e773834a868594007977056400,1219
V_c04f85d43d7b4d2c8309220c286f4aa2,25611
V_9339696e97014aafa191f6c86be76507,19262
V_cec209cdec9540bdb7dc8b3b6cb25823,27464
V_aaa16ab26df041dba20fb12ba54b6d09,22715
V_129a4a4c65414ca38115194d64df2352,2499
V_1e7630591ad1443da881d4245c90729e,4060
V_3d5f5f255af94126ab0e18f34a6400d4,8052
V_bbdd74fa006c4fe89d865750e971aa9b,24984
V_e5831e7dcd434c5380d0e243a2c9d19b,30436
V_ec2542bc3ea64a428ad81527485528a3,31265
V_S26V6_Energy_from_source_during_T2_S1_open_S2_closed,21119
V_6a0c5a2fc7ee4790a20151558066f332,13974
V_d60eb63a6708438c871af25111510003,28433
V_4d044041f70d45aca21a1597ca6dd15c,10078
V_55d1722d66b042718e02dd75737ec095,11250
V_a09823c547704a48ab8cbe2a9808ecf9,21380
V_824c190e23174cb79e717017cc7fa787,17074
V_3192d4dafca840e3abe13e5f63672b7e,6527
V_e9a4555d1b9942008bf103392df4c9bd,30956
V_dd91285ab51341588961dd81227e7421,29364
V_76a5cbc82dec4adb9300fca7bdf92a78,15625
V_009bb1b1a6ec47a1a612b23b1085ee37,68
V_e1f54e2aa7884aa29bac86364c340584,29935
V_eb635716feac41bb8ea468e4a40b1c4f,31174
V_d050d1e6666b4defb43af8d6dfc44e9e,27676
V_335e467843af4fd2a8c056386e6d409d,6755
V_L2V1_Basic_Math_Vectors_and_Dot_Products,20957
V_e10a2ab5591240b9ad94cf557262f6c6,29822
V_4dc49976d4944a64ba80d86b26182065,10175
V_2c6f4c65119f44199dd943530125a396,5839
V_f8cb4a07a2324251bcf07911dd7af2d9,32949
V_5ebd13d7a30647b7a0add3bf3b4b338a,12458
V_022841f341a44ec4b13bde1035ce4a2b,282
V_V11-1_Motorcycle_Wheel_Example,21240
V_4aa1768f744f4036815bea78cc6c511e,9779
V_de745bf4726f4c9b9be0ee261c476032,29467
V_b6e470fd2f0d41cd971b77bc5fd82f0b,24345
V_9dd4b96a72164ad99604115cdbecbd5d,20618
V_99212eea11834ecb804375905a800f31,20014
V_374cfa8cf190427487fa8f875b04c9ed,7259
V_ec1b62827e654888bac5c6cc397faf6c,31264
V_4dc9c29470694165b0137a8df47017ab,10179
V_459bf5b64b144381a5ef5f82acbb1fd2,9152
V_8d583fb8f8434065a2eaaf6a523d541c,18551
V_7f95328c3c9247f39abf5f4174a3ce94,16744
V_982446ae34514a1bb550fad189c2e022,19902
V_0af6a2b7f91c4e818249a3bd29391bc0,1439
V_c1e31461d24a46df901f1d116af2b549,25821
V_4299c125fce148eaa93a2d06027b65e4,8741
V_c61a8dc59125439aae5bd1b3e83358a4,26353
V_a3b7a01b8466455488df614a56ffd9d5,21786
V_91d6cf07dcac48f19441349a4020fac6,19100
V_39da5000fc0d4e3a85a8536049a8383a,7579
V_fe8fe915c7d04a50bb47d687d1f14c0f,33730
V_05c30d2a34a1451d8fcdb1d3d2a86813,747
V_65c20c8976704e05af650d86f88a1f76,13416
V_4fef9d52a1674de68f9055c31a191814,10460
V_64918dd3ff144c2a8f6499e49ffc3690,13282
V_5ec85fb1534d481f92686ed9a3645dae,12466
V_04033231fcae4d1b93eda2ab0efdd3b6,521
V_1d017bd85cdd4272a1bbfd89a0e22312,3859
V_5707411224ee4202af7a519c3245703a,11415
V_bd9ece334e464b85b08409e3d72315ae,25226
V_641cddff4f8441eb8bfe5c97cf821654,13231
V_8bb2f4d98ccb4ca09499e699a0d6fb2d,18332
V_1af706e7c363486780caeeddc4ae6748,3617
V_acfdd0643123408b8b5e8a2b43fbe843,23035
V_67aea336257f4b07892ef439d20950b9,13681
V_995ddf108c084e36b1bdc08985021a90,20042
V_2e14dca252bc4688b73453aca622dede,6045
V_7f164ceb145f488c8672ac6d0fa1a00d,16688
V_cf2efffd2536465389fa187911fb7a56,27529
V_ed3a39112c9e4fdf99ade68b78b7eea0,31423
V_a790690eb3f54291962cc6a4d3fa93a6,22295
V_319082c0956d4d0290d9ed5ea0c30685,6522
V_de8ed2247edd475983ba1f8fccdae6d4,29485
V_e042f274b966407784ef58b1e6146592,29713
V_496fa5fe95fb461dbc8adb09c5ac2e4f,9652
V_bb998ef434714dca9a106f4f2df94f8f,24952
V_853aa9470fe541c1953fac4bbfb817c4,17484
V_2e4f3c93a2e74fb58a3aa66cee77c734,6074
V_61b542087c5d4f28bbfa3eb7a075142f,12872
V_Creating_an_Array_by_Concatenating_Smaller_Arrays,20925
V_b586a2f7d4254c079870dd400e7e1b4d,24155
V_b26e1dad66c44e099873fade47753085,23749
V_80cbacd44f0c48fb8c6420189265654a,16889
V_f227b8972542413b8941387d083ce650,32074
V_8f6d3982458348109cde65e55989a304,18791
V_f5f5d524cd3a42d385401a177a9db8be,32577
V_669bd81131554544a73335c94381518c,13541
V_65e18c6adbf04bb2937d9d1acd795e0a,13438
V_3a3e001979274bdb864862ee154a41b3,7635
V_dadda25084bf4cbabd40b0bd91960241,29012
V_1b79f55ae0514d6496daaf335bb4ba0f,3663
V_Types_of_Knowledge,21230
V_59ff46a999dd4cd1bbb21a09700cd18f,11825
V_784d3a5da07446a18ff72ad0bcc30560,15842
V_cc5edaecc8ce4df8b1b025be710fe6f6,27135
V_50325b1362b6499ba93a8b8c07aeef5a,10493
V_382dd1793cd04735be5c3f278b432a6a,7353
V_da216bcbfddd4875a69ab9b9dd1b76f7,28909
V_f0e6bf57e6524a4a97dd97977434258c,31914
V_df7f61d58c684c33b26874bac50d436b,29608
V_33686aaf0d2643ac8a22eb1afce5c22a,6759
V_c66bc164fa5d4ed68a72cd6f69711fed,26390
V_63b1bc021620449e83ce0fb0447de13b,13173
V_998c0c2e38b8449aa8c89d342f760cfe,20062
V_5ea89882c14749da88586479a3d35edb,12452
V_62cc776ac1b24bc49d620a06fefd2155,13037
V_7cc68df74524461a81a80b0504b305cd,16421
V_c5ebfc03614447aa9492f8a8425e9921,26318
V_a29d0452a8f64415b28d65385c1015d6,21640
V_f84ace9a0a654ce39ee2c2d3d155bf6d,32884
V_e23b68e5318c44a89d6f921235b36086,29968
V_47ecc937b5974c0fba11a873abe77510,9449
V_c8a8e32c44754a40bcafa40f00968990,26682
V_133cb191ebb84a779331e34e80438e08,2574
V_ef3f363d663247b2a140daa14cd19bd4,31694
V_7989d714d0cb4beaa43dcb6364fbe484,15983
V_3f30fe977b594fe08d9834ec4b6ac43a,8282
V_8f0905d70d9f49f7a2031e4205f89e1a,18738
V_2bfcd8bba0ad4cc495f5269f3ac9c58b,5785
V_547e40fd8afd4a7ba4885216b79d726e,11073
V_xjtu-C00204-1-1-3,33939
V_51175eea1b634888a16a11a94128e4c7,10624
V_6ffd4bb001e746c1bc49eafc9d9e7a77,14745
V_2f2e05d1f75a497eb07617cbfe7fe57d,6178
V_9f6f10b57a0b4852943ce6fa4675fea3,20828
V_f838e19dca284c53ba53a5cf6b7510d4,32876
V_4862b3bc3fd343a6af42fd55edec1844,9516
V_e730a64b31c1440c99af4ff9efeb1582,30660
V_9060bdb21b334bc8bfeef85d8cf347f8,18911
V_8f9b90b6d94c464eb6ca1831d8244628,18815
V_441f83ec24aa4429a91c05fdbb1c80e8,8944
V_9f16bfcdd60f487989da31736d7877be,20772
V_ae42489f835949a5901fb8c5ccb1d01a,23190
V_d0320c02cd2f4de781cc1164f093d52f,27662
V_51ce75aef4374d2c9f6638840fabbb50,10720
V_b22105ea38dc4a66b2096f3fc7f3a5b0,23707
V_f854f263bbc04d97ae0b446071c7ecdd,32891
V_2b60f230bdaa4606a6c2d1c93454ad9e,5715
V_f502b1f834684052946d290b05cb945a,32468
V_edf7feb33d7c41b895834d72ebb985b9,31513
V_ea4342de5f554998a05b641b56137401,31049
V_55a0fbfc7b24412bb9cbd01151c84e39,11230
V_58f8587e269046f893b0cb2469492d19,11685
V_a47dfdc84b9d4dce8cd32205be886091,21879
V_dbe1d6c5c256470dbc57af8dcec581c0,29152
V_3e8f565963934170b751f7c36cac8f2d,8200
V_589df1c22f57473787387913d75bb757,11624
V_5a63b0940bc34768983c10b9290d927f,11877
V_055337ae8cb84a328aab85f2e029c2cc,686
V_eaf0bb143bd74eb5b52abb191696eaa9,31128
V_0cd3f24b9c224879913a02e19f2c56b1,1664
V_db9de546b2404a9f9c918dd303019992,29113
V_1791ff3ae3e2483382ed888d3478a0cd,3159
V_3eb99e1b6e014792b10a5ce1e8e1225b,8216
V_89c8b32656304adcaeb833285e314754,18073
V_5e0a7a09e58c44fab10280c07c06caa8,12365
V_09f6784c215a4e9685b1457f3119f551,1311
V_d8e317e8049845a29611588b8bb6556a,28775
V_70653f9b0d7c4f359543a56b79c60e6e,14798
V_a2ca3d29fa624de692de606e8d284bbe,21666
V_3edbeb3e557c46178c165827c51966d2,8233
V_494a8686a60d4f63a7a7fa70e3e01778,9635
V_ee42bb140827403b9e7021b31d3f5d0a,31548
V_6eae3b49cfc2449ea27a65e857c4c233,14574
V_b33125afe6584250b26e3d11dbf0d012,23855
V_fbcf7c22212b458ab83a9c5d4b4c5b15,33360
V_0cfeec76b27f408d8cf48f8547996ff0,1686
V_e86ac540e91c45c0bcbbd3021a656e98,30792
V_50774e48111142ef8ad25455aa7b8fe9,10532
V_fc2a6587bb684910a8cb8189a7709795,33404
V_a4252b57c9cc40d5be9fc2b361b8eb7d,21845
V_0cfbbf900a424e9197dc6425edcbfef5,1683
V_6ef599db19aa4cd59f951ff3bf704acb,14618
V_938fee1c087d4577b776cdd115b682a3,19309
V_256d618afd334829a7a856d427f6e4eb,4979
V_3ee23d0bafe1422db4771742e66b5aa5,8237
V_8a9397fddcdf4015b93f67970d1f701f,18178
V_448263244ac64751adc4170c6e57a341,9003
V_799ce5f169104dcb8c33e7eda414fdb6,15994
V_6000c686ebb6490d892f345e6a8fc750,12640
V_ce4fe42ef3a140be9e73391e6a779cb8,27409
V_3e41e465f6bc4c5da70f12ec9d67219f,8168
V_b8e75b4f77ee4855aca1459a375695ab,24597
V_d88dd5ae44184ffb82d650478d6f9390,28739
V_56e57f0149e24159b9c3e83a88eb11df,11396
V_458f7117847b405e9ba8be361b740fc6,9147
V_3953c0efdbf4452b83e5a8603b831282,7504
V_1389c48cef9146308f40544c57ac4602,2626
V_8c0009c41ab94cc6b92958181f02bf1f,18369
V_148d95e661f1434d9bafb33f37cfe125,2766
V_21b3adb546404fb99a5f4d6969aaf802,4499
V_f2e1c9fb51d7442499b00acb732ddec1,32169
V_f576325d26f94fe18fa943b4cda272a1,32515
V_f1e57c556c214fcdb862f74f52d123ee,32038
V_dadc80e0399f4b04abf862b3277b16a1,29011
V_d4e6e31838f348bcad7c3c1d76e87b1f,28279
V_a8a74c0b193f47ce85041191918e9f81,22456
V_9318fb8d3d9f4cc1a739e9a778854842,19248
V_487ff859d09042fe898579397b08834b,9532
V_4380add280e94bdebd511f5c6123bc09,8867
V_38de5908e4c845649ac2066c1547f458,7438
V_d12234f4303142ef865564dc125ae4e5,27787
V_8a05d7f2c7e34473ac6ee389fba39048,18100
V_ce4ace1072b6439797f52eb1d6335961,27403
V_0a7502308cc24770a4d865b60453fd58,1371
V_03d17d89ad824caf912bc87fbf77d897,495
V_d1e5f09e8ed24fd08009a0e6a4c23969,27884
V_ee8f05dffe9542b886745e397955e3e0,31591
V_d3cdb373663e4f0da3d9dbcbe164e26b,28137
V_ba07d38259e24cb7b745bf533b5b87de,24740
V_1446bd27456f4408ab269c52db7a1f0e,2727
V_a2a40f2c2dae4e128602a09f6ccf3937,21643
V_9a0a136f238046e4865592264b6bbe34,20123
V_f5f0ee02ee49469bbd606cce95fa9b8f,32571
V_643ed3c8f4e24522bd03289433baf906,13251
V_26d98fcfc9a441ea871f63d856319ec8,5158
V_fee5b73e13294154b01690e1c93ed7ad,33779
V_868f4c17b3c24ba58d9ca0c803085e4d,17660
V_b9714a9558fd47ec9d7278dfe4bec4fe,24658
V_fc0e370094834885a2d0ebb71e46c0bf,33391
V_72a0fc2332b74fe5aff4d0f0c7bdf83c,15100
V_c5ac2808044448ad91d499e8a760ec5e,26291
V_b982fd53bb4447f9a3b7c97122a32011,24668
V_72f75ba017884d588143703f91cbcfdc,15146
V_4c6f20bea13f43df8451c1a313042dac,10010
V_0f81ce1dbf4d4cd8a7dd7cdd926179bb,2075
V_411e3069168746319c941dcfd9dc7343,8549
V_f7e8a8c910ff485a8f4b6fb7c4e43ae1,32835
V_ca1b2af13d7645e79f8ae7f6ae569dd7,26863
V_a5f45f291c1741b4839a2bd2edec4de3,22065
V_fc22ebb08a7744cd879c75ba6ed3deca,33400
V_85fe3edfc29b4ed4b09ca1efe0300523,17585
V_abc8d085248c47b8af0ba1278b2f073f,22861
V_e37065c0a73a44a69add0abcf2f92564,30136
V_4a1b6664d38f42198caf7b016ecfe8d5,9723
V_0478d41ef2bd4b4a80575f6c847c0cf9,576
V_3be25ee5968c467c9ef40f33c3eb59b4,7863
V_3d7226f2edda449490bef068cfb03230,8063
V_0a656a9a5be84ad6b37594d87bdf0596,1362
V_5f2dc8f9d47f4fb2a4107d2e45dcb78a,12523
V_0d9942bf546648c19e5363c5d681cb4a,1786
V_66181f88902b48708f6ff34b1267f912,13473
V_909b684f64ef428eadd254c7bd23b62b,18941
V_c0f389d36f8b4f69a84f234789b07ef5,25697
V_941fd4aad7054e4f8513cfc098718511,19384
V_20b748355741422d859a9dacd9a953ad,4365
V_cad461b811f04380bf34051c7ac6b2d1,26951
V_46d358f343b14c1480f865f240b572b0,9302
V_63e3ebfeeca6441783dd3d80e68b6e89,13201
V_b22c7c0e1afb4e4da113b5aaa6b75866,23717
V_1009064fc4a743e2a48c057a17797ebd,2162
V_a7f9d9cb79fc473fba8c1ee5dc69d7f1,22357
V_255b1cf9efff4b229739a3abf115b006,4961
V_913dd1ea190b4ccaad17dced1739c6f7,19015
V_ed7314ad18ee41c0b379258b3bfd247d,31444
V_e70ad4afdab04448b689b13ed06ba4a5,30634
V_e16f90507fba495b896336dffc766900,29864
V_30e8cf9de3ec4c7a868b3c825853cf80,6433
V_c1da5404e60a4413b2334d9e08c5389b,25813
V_e04ec13f27ce4820850502a591969f03,29720
V_9ca16f2178bb4088aae5c0a0d797a0fe,20466
V_b14a25c1f4e84ed997cede2086a1651e,23607
V_97c978125a164701937da7db82c7053b,19860
V_fb9e1b45cc624a49ac6326ed89014255,33336
V_bd40a8ba829c4919b193b9e3dc67507c,25175
V_6732a0c5367144c3ac7a901f14e85586,13622
V_7f33161c010144288684bec93aff94f9,16700
V_76d7bc4afa6f4b9684bace9342b32b6d,15645
V_b13b1b41c28a499daabbf5b87e41490b,23598
V_cdd81b04259d402eb85b3c796f0fb4c1,27356
V_2a82b8b376824531b78b347f38ca4522,5620
V_e4e0b45cda6e47ab8543c3fa8d549fdf,30345
V_8f764a4b81274e1880599093bb264aa6,18796
V_5e32a61bbd2241998b2ca81581b090b1,12392
V_b3256e0c3f6642118a730dc08e72ef3b,23844
V_8cacfb50fe3b40efa66319026218b806,18454
V_19f3caa557fb4484856bcd972d176840,3469
V_fe91a73e713c49be907b7da85dc8800f,33731
V_ef25b2ebd95846639190c3281953cea5,31676
V_c0d99b5825254b689036770348a5caa8,25681
V_7c4cdde91c5041aeb5748497b9cee375,16360
V_3b08a7c091d449a6a5af5fa38120ef82,7754
V_47f5292870984d459b27aed8911db992,9451
V_f6252fb9c932444cac248f53a267dab7,32602
V_1491b66dab754ba3ab98d6b06adb8d9f,2770
V_8539aa8fa48f4a9ea60e62df7843277b,17483
V_fe20279558e64a97b207e206c2c17744,33666
V_6198a76b6dce47638c6a5848c036b7fa,12853
V_7ab987e956e64e1383dd5066db2c703e,16153
V_64add023fe464d849744ce4976852254,13304
V_72681077e68b4e99a80afbde1d0862b6,15061
V_f1165096c47a43fda9aa20c56d9473c5,31941
V_8c9cf74667a34aeb8d87d29bc14ab5b1,18445
V_e0089cb53c4948ec9eb2135ce31a8403,29686
V_3aeb30f643294ead91b6266da5e31e56,7737
V_534dc5de88af49209a265bc9bc010c67,10922
V_7cd8e10b56864ba19bb64006b02c4845,16435
V_faa76ba355284f56bc8568caa1562fe9,33217
V_3af9664c65dc41d698918cfe952895f4,7744
V_569cc3c7a3124073b849283ec7e61e83,11360
V_b9662632a6d242b6baffc85b6803cc7a,24653
V_c13533bb0d3f4b3890ff9b8176aee7f0,25733
V_cc6a0c154d424aaf8de16228a4bbf814,27139
V_f1100d64380c4f479d9c02725e030550,31937
V_0b1ffa7f515d44f4ad678d0e17838e00,1456
V_b18357713cdd4a91b9f937fb07673b7b,23632
V_4b2781f652344ced96a22f1c162e3dc6,9856
V_33d6859250bb4ba69c68e13d6f897eaf,6812
V_a6b7b127c0f94d098133a4454cefd625,22167
V_91b1e94826514d3ca92a0025b5503bf7,19086
V_4861a0ccbd2549b28c35551a4c2a5cb4,9515
V_f7f54768f1ad411cb3898b7d3a045bf8,32841
V_95a4da330295407c9f7265f1dfbe475e,19587
V_0946eee94def43c89d9ed1e13c0d5b3e,1211
V_ef005d95819a46328f53146ffc056e01,31653
V_a048d2b6ec0a4125b4f6aac16fe7413d,21325
V_356e02ca321e4412853e9d0200449b72,7012
V_8d45d2ee18084f6ebea9d80ff89d5d7f,18539
V_904c1fd4c20140a288fc79aa062af35c,18896
V_aa698461875b4e7e83f1edcb7f70adcc,22693
V_f0317fe89f41427a8290f0aa4295f97b,31811
V_95cbef54055442b8b6c9db551e985488,19614
V_3d6ecc58b10e4ea782da1596f9b75069,8061
V_73332ca0f65f422e9cabcf6fe4a4efa6,15170
V_5c341f49543c43ca9487966582fa0653,12108
V_1767cfb62ef04c45983973a5905a431a,3134
V_3de447db4de74656ade3c44437da4c8f,8126
V_dc32b2d6203f4f2aa7c99dd27a0acd53,29195
V_670e3200113f4ba48b24c9a23e710182,13603
V_3cf4551aa7aa48088360284fee7bc9e8,7992
V_b7b733c173254a1da05338dc0d7d1fb8,24444
V_bf8afefa15724c839304b4b6747e25aa,25502
V_a59b3cf2d77d430caffbd5bb936f0a11,22021
V_7b1df20775684955bfb998b66b64c73a,16204
V_bcf84c7a405d4592acea7b12dbd08557,25130
V_ac4c695904dd4bb8a9cc27bbc011635b,22939
V_36ca49120f844e33af89f3963ad0ddf9,7181
V_cd1e71473dc145bf8c1fb597b13a7580,27258
V_78a8b410fdc34a5abb8a8c7ce8f508dc,15884
V_830fc443a57f4a6e8cc6136604423728,17176
V_b1e1d5671ded4af78e31505f722b1881,23672
V_9f35c7147642482a8ef250a0674cd26a,20788
V_bfb1601fbbfb449c94274a631c4bacf8,25527
V_4925a7dc70714b9d9005b9bb32bebae3,9622
V_f47b8d9138454a5e905429c5e1e31986,32389
V_904d9f2ad0084776bd4fd31122f1ac24,18898
V_dbb16b63b0a44da6bad55d647ce5b238,29123
V_cce96ca4fb034ac086949783899d053d,27216
V_8c70b2fc23264fa2b77f24744e62b1cb,18421
V_edf6387dcc5443e3a126c5710e41433a,31510
V_71234f498aed4ed282edb29eb0bf733f,14913
V_8fd1f91f1c324765b76c42371b13c979,18840
V_9b90bd76e77c4e1bbac4de4c89135add,20331
V_dbf67205bfdb4eb1ad5a0d0e33db6fe0,29164
V_d9b0803d86c2461297308520f595547a,28864
V_3e74810252534b3aa4d175269b7d2cdc,8182
V_f900e32715e44fb08573c0cb3c478e91,32981
V_aca7fd1751e8460cbd6f2ee911dc2830,22990
V_506a97ca666440fc87e5144b2d37e656,10521
V_348d7fb4fa554cfd843af4252181eb19,6905
V_e56639db0cd847499e5a31390bbd6729,30422
V_739f100c7da442e497108efd708557a1,15221
V_78e48d72c9044ad59a443d27ffeea49f,15912
V_3ffe0b29c2134f098066d6e5589ffc1e,8391
V_fab5b5c54a3c460e8ce4ce7de88083eb,33227
V_feed39695a97419fbc4ffb7cfdf3e56a,33783
V_794c31fcb5ba43e29ec795abb53075c7,15956
V_0451a513383e4c96af8905f44db937e4,550
V_94ccf7789640483790fc3ff5e061ff3e,19478
V_2b042cb2fefd412fb8848875859bd0d3,5668
V_d4c4a424f9ff48b1b2a37ed9197b6432,28258
V_48426e0fec844fdcbcba78b06c819924,9497
V_bf53db18b1a04e2cb05b61b91fa1506e,25460
V_51e377aeba90457797289360af42b9a7,10731
V_a8afb65f45fd45f2bd4ce85df3abd53e,22460
V_7da8b10fe0bf4be79bf2eff6cc247580,16521
V_420cf85c6f3f49e6b05b207485f496c3,8672
